"Notes"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10489	298379912	3.5
	"2006"	"2006"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	31725	298379912	10.6
	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	181586	298379912	60.9
	"2007"	"2007"	"Certain infectious and parasitic diseases"	"A00-B99"	66850	301231207	22.2
	"2007"	"2007"	"Neoplasms"	"C00-D48"	577079	301231207	191.6
	"2007"	"2007"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9745	301231207	3.2
	"2007"	"2007"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	99028	301231207	32.9
	"2007"	"2007"	"Mental and behavioural disorders"	"F01-F99"	90280	301231207	30.0
	"2007"	"2007"	"Diseases of the nervous system"	"G00-G98"	126997	301231207	42.2
	"2007"	"2007"	"Diseases of the eye and adnexa"	"H00-H57"	45	301231207	0.0
	"2007"	"2007"	"Diseases of the ear and mastoid process"	"H60-H93"	65	301231207	0.0
	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	810257	301231207	269.0
	"2007"	"2007"	"Diseases of the respiratory system"	"J00-J98"	227307	301231207	75.5
	"2007"	"2007"	"Diseases of the digestive system"	"K00-K92"	89151	301231207	29.6
	"2007"	"2007"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3883	301231207	1.3
	"2007"	"2007"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13917	301231207	4.6
	"2007"	"2007"	"Diseases of the genitourinary system"	"N00-N98"	64743	301231207	21.5
	"2007"	"2007"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	769	301231207	0.3
	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	14599	301231207	4.8
	"2007"	"2007"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10421	301231207	3.5
	"2007"	"2007"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	33500	301231207	11.1
	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	185076	301231207	61.4
	"2008"	"2008"	"Certain infectious and parasitic diseases"	"A00-B99"	68432	304093966	22.5
	"2008"	"2008"	"Neoplasms"	"C00-D48"	579939	304093966	190.7
	"2008"	"2008"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9873	304093966	3.2
	"2008"	"2008"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	99326	304093966	32.7
	"2008"	"2008"	"Mental and behavioural disorders"	"F01-F99"	104617	304093966	34.4
	"2008"	"2008"	"Diseases of the nervous system"	"G00-G98"	136607	304093966	44.9
	"2008"	"2008"	"Diseases of the eye and adnexa"	"H00-H57"	51	304093966	0.0
	"2008"	"2008"	"Diseases of the ear and mastoid process"	"H60-H93"	80	304093966	0.0
	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	808525	304093966	265.9
	"2008"	"2008"	"Diseases of the respiratory system"	"J00-J98"	245099	304093966	80.6
	"2008"	"2008"	"Diseases of the digestive system"	"K00-K92"	91097	304093966	30.0
	"2008"	"2008"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3983	304093966	1.3
	"2008"	"2008"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13871	304093966	4.6
	"2008"	"2008"	"Diseases of the genitourinary system"	"N00-N98"	63130	304093966	20.8
	"2008"	"2008"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	795	304093966	0.3
	"2008"	"2008"	"Certain conditions originating in the perinatal period"	"P00-P96"	13933	304093966	4.6
	"2008"	"2008"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10288	304093966	3.4
	"2008"	"2008"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	38522	304093966	12.7
	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	183816	304093966	60.4
	"2009"	"2009"	"Certain infectious and parasitic diseases"	"A00-B99"	69558	306771529	22.7
	"2009"	"2009"	"Neoplasms"	"C00-D48"	582233	306771529	189.8
	"2009"	"2009"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9644	306771529	3.1
	"2009"	"2009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	97984	306771529	31.9
	"2009"	"2009"	"Mental and behavioural disorders"	"F01-F99"	106242	306771529	34.6
	"2009"	"2009"	"Diseases of the nervous system"	"G00-G98"	134168	306771529	43.7
	"2009"	"2009"	"Diseases of the eye and adnexa"	"H00-H57"	43	306771529	0.0
	"2009"	"2009"	"Diseases of the ear and mastoid process"	"H60-H93"	59	306771529	0.0
	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	784742	306771529	255.8
	"2009"	"2009"	"Diseases of the respiratory system"	"J00-J98"	238636	306771529	77.8
	"2009"	"2009"	"Diseases of the digestive system"	"K00-K92"	89415	306771529	29.1
	"2009"	"2009"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4014	306771529	1.3
	"2009"	"2009"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13329	306771529	4.3
	"2009"	"2009"	"Diseases of the genitourinary system"	"N00-N98"	63538	306771529	20.7
	"2009"	"2009"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	960	306771529	0.3
	"2009"	"2009"	"Certain conditions originating in the perinatal period"	"P00-P96"	13116	306771529	4.3
	"2009"	"2009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	9883	306771529	3.2
	"2009"	"2009"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	39829	306771529	13.0
	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	179770	306771529	58.6
	"2010"	"2010"	"Certain infectious and parasitic diseases"	"A00-B99"	67583	308745538	21.9
	"2010"	"2010"	"Neoplasms"	"C00-D48"	589660	308745538	191.0
	"2010"	"2010"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9774	308745538	3.2
	"2010"	"2010"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	98891	308745538	32.0
	"2010"	"2010"	"Mental and behavioural disorders"	"F01-F99"	120821	308745538	39.1
	"2010"	"2010"	"Diseases of the nervous system"	"G00-G98"	141106	308745538	45.7
	"2010"	"2010"	"Diseases of the eye and adnexa"	"H00-H57"	53	308745538	0.0
	"2010"	"2010"	"Diseases of the ear and mastoid process"	"H60-H93"	65	308745538	0.0
	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	784454	308745538	254.1
	"2010"	"2010"	"Diseases of the respiratory system"	"J00-J98"	237433	308745538	76.9
	"2010"	"2010"	"Diseases of the digestive system"	"K00-K92"	91314	308745538	29.6
	"2010"	"2010"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3995	308745538	1.3
	"2010"	"2010"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13323	308745538	4.3
	"2010"	"2010"	"Diseases of the genitourinary system"	"N00-N98"	65676	308745538	21.3
	"2010"	"2010"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	825	308745538	0.3
	"2010"	"2010"	"Certain conditions originating in the perinatal period"	"P00-P96"	12128	308745538	3.9
	"2010"	"2010"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	9673	308745538	3.1
	"2010"	"2010"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	38360	308745538	12.4
	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	183301	308745538	59.4
	"2011"	"2011"	"Certain infectious and parasitic diseases"	"A00-B99"	68818	311591917	22.1
	"2011"	"2011"	"Neoplasms"	"C00-D48"	591688	311591917	189.9
	"2011"	"2011"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10158	311591917	3.3
	"2011"	"2011"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	105144	311591917	33.7
	"2011"	"2011"	"Mental and behavioural disorders"	"F01-F99"	135949	311591917	43.6
	"2011"	"2011"	"Diseases of the nervous system"	"G00-G98"	144920	311591917	46.5
	"2011"	"2011"	"Diseases of the eye and adnexa"	"H00-H57"	49	311591917	0.0
	"2011"	"2011"	"Diseases of the ear and mastoid process"	"H60-H93"	77	311591917	0.0
	"2011"	"2011"	"Diseases of the circulatory system"	"I00-I99"	783475	311591917	251.4
	"2011"	"2011"	"Diseases of the respiratory system"	"J00-J98"	248742	311591917	79.8
	"2011"	"2011"	"Diseases of the digestive system"	"K00-K92"	94096	311591917	30.2
	"2011"	"2011"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4147	311591917	1.3
	"2011"	"2011"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13702	311591917	4.4
	"2011"	"2011"	"Diseases of the genitourinary system"	"N00-N98"	61592	311591917	19.8
	"2011"	"2011"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	931	311591917	0.3
	"2011"	"2011"	"Certain conditions originating in the perinatal period"	"P00-P96"	12036	311591917	3.9
	"2011"	"2011"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	9702	311591917	3.1
	"2011"	"2011"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	40184	311591917	12.9
	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	190048	311591917	61.0
	"2012"	"2012"	"Certain infectious and parasitic diseases"	"A00-B99"	68409	313914040	21.8
	"2012"	"2012"	"Neoplasms"	"C00-D48"	597679	313914040	190.4
	"2012"	"2012"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10474	313914040	3.3
	"2012"	"2012"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	105926	313914040	33.7
	"2012"	"2012"	"Mental and behavioural disorders"	"F01-F99"	147917	313914040	47.1
	"2012"	"2012"	"Diseases of the nervous system"	"G00-G98"	146187	313914040	46.6
	"2012"	"2012"	"Diseases of the eye and adnexa"	"H00-H57"	59	313914040	0.0
	"2012"	"2012"	"Diseases of the ear and mastoid process"	"H60-H93"	65	313914040	0.0
	"2012"	"2012"	"Diseases of the circulatory system"	"I00-I99"	787431	313914040	250.8
	"2012"	"2012"	"Diseases of the respiratory system"	"J00-J98"	246311	313914040	78.5
	"2012"	"2012"	"Diseases of the digestive system"	"K00-K92"	95284	313914040	30.4
	"2012"	"2012"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4201	313914040	1.3
	"2012"	"2012"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13725	313914040	4.4
	"2012"	"2012"	"Diseases of the genitourinary system"	"N00-N98"	62030	313914040	19.8
	"2012"	"2012"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	990	313914040	0.3
	"2012"	"2012"	"Certain conditions originating in the perinatal period"	"P00-P96"	11917	313914040	3.8
	"2012"	"2012"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	9636	313914040	3.1
	"2012"	"2012"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	42050	313914040	13.4
	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	192988	313914040	61.5
	"2013"	"2013"	"Certain infectious and parasitic diseases"	"A00-B99"	70601	316128839	22.3
	"2013"	"2013"	"Neoplasms"	"C00-D48"	600113	316128839	189.8
	"2013"	"2013"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10216	316128839	3.2
	"2013"	"2013"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	109159	316128839	34.5
	"2013"	"2013"	"Mental and behavioural disorders"	"F01-F99"	156415	316128839	49.5
	"2013"	"2013"	"Diseases of the nervous system"	"G00-G98"	151784	316128839	48.0
	"2013"	"2013"	"Diseases of the eye and adnexa"	"H00-H57"	43	316128839	0.0
	"2013"	"2013"	"Diseases of the ear and mastoid process"	"H60-H93"	71	316128839	0.0
	"2013"	"2013"	"Diseases of the circulatory system"	"I00-I99"	800937	316128839	253.4
	"2013"	"2013"	"Diseases of the respiratory system"	"J00-J98"	261071	316128839	82.6
	"2013"	"2013"	"Diseases of the digestive system"	"K00-K92"	98364	316128839	31.1
	"2013"	"2013"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4330	316128839	1.4
	"2013"	"2013"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13534	316128839	4.3
	"2013"	"2013"	"Diseases of the genitourinary system"	"N00-N98"	64085	316128839	20.3
	"2013"	"2013"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	1138	316128839	0.4
	"2013"	"2013"	"Certain conditions originating in the perinatal period"	"P00-P96"	12084	316128839	3.8
	"2013"	"2013"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	9583	316128839	3.0
