"Notes"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Congenital malformations of the circulatory system"	"Q20-Q28"	4436	279040168	1.6
	"1999"	"1999"	"Congenital malformations of the respiratory system"	"Q30-Q34"	607	279040168	0.2
	"1999"	"1999"	"Cleft lip and cleft palate"	"Q35-Q37"	12	279040168	Unreliable
	"1999"	"1999"	"Other congenital malformations of the digestive system"	"Q38-Q45"	198	279040168	0.1
	"1999"	"1999"	"Congenital malformations of genital organs"	"Q50-Q56"	5	279040168	Unreliable
	"1999"	"1999"	"Congenital malformations of the urinary system"	"Q60-Q64"	734	279040168	0.3
	"1999"	"1999"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	578	279040168	0.2
	"1999"	"1999"	"Other congenital malformations"	"Q80-Q89"	1053	279040168	0.4
	"1999"	"1999"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	1590	279040168	0.6
	"1999"	"1999"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	2978	279040168	1.1
	"1999"	"1999"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	295	279040168	0.1
	"1999"	"1999"	"Symptoms and signs involving the skin and subcutaneous tissue"	"R20-R23"	4	279040168	Unreliable
	"1999"	"1999"	"Symptoms and signs involving the nervous and musculoskeletal systems"	"R25-R29"	49	279040168	0.0
	"1999"	"1999"	"Symptoms and signs involving the urinary system"	"R30-R39"	4	279040168	Unreliable
	"1999"	"1999"	"Symptoms and signs involving cognition, perception, emotional state and behaviour"	"R40-R46"	23	279040168	0.0
	"1999"	"1999"	"Symptoms and signs involving speech and voice"	"R47-R49"	3	279040168	Unreliable
	"1999"	"1999"	"General symptoms and signs"	"R50-R68"	6629	279040168	2.4
	"1999"	"1999"	"Abnormal findings on examination of blood, without diagnosis"	"R70-R79"	33	279040168	0.0
	"1999"	"1999"	"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"	"R83-R89"	1	279040168	Unreliable
	"1999"	"1999"	"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"	"R90-R94"	100	279040168	0.0
	"1999"	"1999"	"Ill-defined and unknown causes of mortality"	"R95-R99"	16553	279040168	5.9
	"1999"	"1999"	"Transport accidents"	"V01-V99"	45927	279040168	16.5
	"1999"	"1999"	"Other external causes of accidental injury"	"W00-X59"	50559	279040168	18.1
	"1999"	"1999"	"Intentional self-harm"	"X60-X84"	29180	279040168	10.5
	"1999"	"1999"	"Assault"	"X85-Y09"	16749	279040168	6.0
	"1999"	"1999"	"Event of undetermined intent"	"Y10-Y34"	3878	279040168	1.4
	"1999"	"1999"	"Legal intervention and operations of war"	"Y35-Y36"	399	279040168	0.1
	"1999"	"1999"	"Complications of medical and surgical care"	"Y40-Y84"	2742	279040168	1.0
	"1999"	"1999"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	1675	279040168	0.6
	"2000"	"2000"	"Intestinal infectious diseases"	"A00-A09"	1380	281421906	0.5
	"2000"	"2000"	"Tuberculosis"	"A16-A19"	776	281421906	0.3
	"2000"	"2000"	"Certain zoonotic bacterial diseases"	"A20-A28"	14	281421906	Unreliable
	"2000"	"2000"	"Other bacterial diseases"	"A30-A49"	32731	281421906	11.6
	"2000"	"2000"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	60	281421906	0.0
	"2000"	"2000"	"Other spirochaetal diseases"	"A65-A69"	6	281421906	Unreliable
	"2000"	"2000"	"Rickettsioses"	"A75-A79"	6	281421906	Unreliable
	"2000"	"2000"	"Viral infections of the central nervous system"	"A80-A89"	395	281421906	0.1
	"2000"	"2000"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	3	281421906	Unreliable
	"2000"	"2000"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	322	281421906	0.1
	"2000"	"2000"	"Viral hepatitis"	"B15-B19"	5357	281421906	1.9
	"2000"	"2000"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	14478	281421906	5.1
	"2000"	"2000"	"Other viral diseases"	"B25-B34"	567	281421906	0.2
	"2000"	"2000"	"Mycoses"	"B35-B49"	1245	281421906	0.4
	"2000"	"2000"	"Protozoal diseases"	"B50-B64"	237	281421906	0.1
	"2000"	"2000"	"Helminthiases"	"B65-B83"	33	281421906	0.0
	"2000"	"2000"	"Pediculosis, acariasis and other infestations"	"B85-B89"	4	281421906	Unreliable
	"2000"	"2000"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	1281	281421906	0.5
	"2000"	"2000"	"Other infectious diseases"	"B99-B99"	112	281421906	0.0
	"2000"	"2000"	"Malignant neoplasms"	"C00-C97"	553091	281421906	196.5
	"2000"	"2000"	"In situ neoplasms"	"D00-D09"	18	281421906	Unreliable
	"2000"	"2000"	"Benign neoplasms"	"D10-D36"	1589	281421906	0.6
	"2000"	"2000"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	11939	281421906	4.2
	"2000"	"2000"	"Nutritional anaemias"	"D50-D53"	289	281421906	0.1
	"2000"	"2000"	"Haemolytic anaemias"	"D55-D59"	838	281421906	0.3
	"2000"	"2000"	"Aplastic and other anaemias"	"D60-D64"	3367	281421906	1.2
	"2000"	"2000"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	2639	281421906	0.9
	"2000"	"2000"	"Other diseases of blood and blood-forming organs"	"D70-D76"	836	281421906	0.3
	"2000"	"2000"	"Certain disorders involving the immune mechanism"	"D80-D89"	1346	281421906	0.5
	"2000"	"2000"	"Disorders of thyroid gland"	"E00-E07"	1780	281421906	0.6
	"2000"	"2000"	"Diabetes mellitus"	"E10-E14"	69301	281421906	24.6
	"2000"	"2000"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	208	281421906	0.1
	"2000"	"2000"	"Disorders of other endocrine glands"	"E20-E34"	698	281421906	0.2
	"2000"	"2000"	"Malnutrition"	"E40-E46"	3926	281421906	1.4
	"2000"	"2000"	"Other nutritional deficiencies"	"E50-E64"	316	281421906	0.1
	"2000"	"2000"	"Obesity and other hyperalimentation"	"E65-E68"	2991	281421906	1.1
	"2000"	"2000"	"Metabolic disorders"	"E70-E88"	15125	281421906	5.4
	"2000"	"2000"	"Organic, including symptomatic, mental disorders"	"F01-F09"	35109	281421906	12.5
	"2000"	"2000"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	8721	281421906	3.1
	"2000"	"2000"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	498	281421906	0.2
	"2000"	"2000"	"Mood [affective] disorders"	"F30-F39"	819	281421906	0.3
	"2000"	"2000"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	73	281421906	0.0
	"2000"	"2000"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	331	281421906	0.1
	"2000"	"2000"	"Disorders of adult personality and behaviour"	"F60-F69"	4	281421906	Unreliable
	"2000"	"2000"	"Mental retardation"	"F70-F79"	413	281421906	0.1
	"2000"	"2000"	"Disorders of psychological development"	"F80-F89"	27	281421906	0.0
	"2000"	"2000"	"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence"	"F90-F98"	5	281421906	Unreliable
	"2000"	"2000"	"Unspecified mental disorder"	"F99-F99"	15	281421906	Unreliable
	"2000"	"2000"	"Inflammatory diseases of the central nervous system"	"G00-G09"	1364	281421906	0.5
	"2000"	"2000"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	6436	281421906	2.3
	"2000"	"2000"	"Extrapyramidal and movement disorders"	"G20-G25"	15936	281421906	5.7
	"2000"	"2000"	"Other degenerative diseases of the nervous system"	"G30-G31"	50872	281421906	18.1
	"2000"	"2000"	"Demyelinating diseases of the central nervous system"	"G35-G37"	2961	281421906	1.1
	"2000"	"2000"	"Episodic and paroxysmal disorders"	"G40-G47"	2019	281421906	0.7
	"2000"	"2000"	"Nerve, nerve root and plexus disorders"	"G50-G58"	56	281421906	0.0
	"2000"	"2000"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	548	281421906	0.2
	"2000"	"2000"	"Diseases of myoneural junction and muscle"	"G70-G72"	1758	281421906	0.6
	"2000"	"2000"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	2140	281421906	0.8
	"2000"	"2000"	"Other disorders of the nervous system"	"G90-G98"	6924	281421906	2.5
	"2000"	"2000"	"Disorders of eyelid, lacrimal system and orbit"	"H00-H05"	9	281421906	Unreliable
	"2000"	"2000"	"Disorders of conjunctiva"	"H10-H11"	1	281421906	Unreliable
	"2000"	"2000"	"Disorders of sclera, cornea, iris and ciliary body"	"H15-H21"	2	281421906	Unreliable
	"2000"	"2000"	"Disorders of lens"	"H25-H27"	2	281421906	Unreliable
	"2000"	"2000"	"Disorders of choroid and retina"	"H30-H35"	6	281421906	Unreliable
	"2000"	"2000"	"Glaucoma"	"H40-H40"	6	281421906	Unreliable
	"2000"	"2000"	"Disorders of vitreous body and globe"	"H43-H44"	3	281421906	Unreliable
	"2000"	"2000"	"Disorders of optic nerve and visual pathways"	"H46-H47"	2	281421906	Unreliable
	"2000"	"2000"	"Disorders of ocular muscles, binocular movement, accommodation and refraction"	"H49-H52"	10	281421906	Unreliable
	"2000"	"2000"	"Visual disturbances and blindness"	"H53-H54"	16	281421906	Unreliable
	"2000"	"2000"	"Other disorders of eye and adnexa"	"H55-H57"	2	281421906	Unreliable
	"2000"	"2000"	"Diseases of external ear"	"H60-H61"	4	281421906	Unreliable
	"2000"	"2000"	"Diseases of middle ear and mastoid"	"H65-H74"	58	281421906	0.0
	"2000"	"2000"	"Diseases of inner ear"	"H80-H83"	1	281421906	Unreliable
	"2000"	"2000"	"Other disorders of ear"	"H90-H93"	4	281421906	Unreliable
	"2000"	"2000"	"Acute rheumatic fever"	"I00-I02"	37	281421906	0.0
	"2000"	"2000"	"Chronic rheumatic heart diseases"	"I05-I09"	3545	281421906	1.3
	"2000"	"2000"	"Hypertensive diseases"	"I10-I15"	44619	281421906	15.9
	"2000"	"2000"	"Ischaemic heart diseases"	"I20-I25"	515204	281421906	183.1
	"2000"	"2000"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	13047	281421906	4.6
	"2000"	"2000"	"Other forms of heart disease"	"I30-I51"	152381	281421906	54.1
	"2000"	"2000"	"Cerebrovascular diseases"	"I60-I69"	167661	281421906	59.6
	"2000"	"2000"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	40429	281421906	14.4
	"2000"	"2000"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	4110	281421906	1.5
	"2000"	"2000"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	493	281421906	0.2
	"2000"	"2000"	"Acute upper respiratory infections"	"J00-J06"	205	281421906	0.1
	"2000"	"2000"	"Influenza and pneumonia"	"J09-J18"	65313	281421906	23.2
	"2000"	"2000"	"Other acute lower respiratory infections"	"J20-J22"	425	281421906	0.2
	"2000"	"2000"	"Other diseases of upper respiratory tract"	"J30-J39"	446	281421906	0.2
	"2000"	"2000"	"Chronic lower respiratory diseases"	"J40-J47"	122009	281421906	43.4
	"2000"	"2000"	"Lung diseases due to external agents"	"J60-J70"	17863	281421906	6.3
	"2000"	"2000"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	15492	281421906	5.5
	"2000"	"2000"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	727	281421906	0.3
	"2000"	"2000"	"Other diseases of pleura"	"J90-J94"	1316	281421906	0.5
	"2000"	"2000"	"Other diseases of the respiratory system"	"J96-J98"	7283	281421906	2.6
	"2000"	"2000"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	112	281421906	0.0
	"2000"	"2000"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	7732	281421906	2.7
	"2000"	"2000"	"Diseases of appendix"	"K35-K38"	435	281421906	0.2
	"2000"	"2000"	"Hernia"	"K40-K46"	1522	281421906	0.5
	"2000"	"2000"	"Noninfective enteritis and colitis"	"K50-K52"	2194	281421906	0.8
	"2000"	"2000"	"Other diseases of intestines"	"K55-K63"	20665	281421906	7.3
	"2000"	"2000"	"Diseases of peritoneum"	"K65-K66"	1948	281421906	0.7
	"2000"	"2000"	"Diseases of liver"	"K70-K76"	33853	281421906	12.0
	"2000"	"2000"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	7463	281421906	2.7
	"2000"	"2000"	"Other diseases of the digestive system"	"K90-K92"	8091	281421906	2.9
	"2000"	"2000"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	1141	281421906	0.4
	"2000"	"2000"	"Bullous disorders"	"L10-L13"	154	281421906	0.1
	"2000"	"2000"	"Dermatitis and eczema"	"L20-L30"	30	281421906	0.0
	"2000"	"2000"	"Papulosquamous disorders"	"L40-L44"	34	281421906	0.0
	"2000"	"2000"	"Urticaria and erythema"	"L50-L53"	128	281421906	0.0
	"2000"	"2000"	"Radiation-related disorders of the skin and subcutaneous tissue"	"L55-L59"	1	281421906	Unreliable
	"2000"	"2000"	"Disorders of skin appendages"	"L60-L75"	8	281421906	Unreliable
	"2000"	"2000"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	2257	281421906	0.8
	"2000"	"2000"	"Arthropathies"	"M00-M25"	4366	281421906	1.6
	"2000"	"2000"	"Systemic connective tissue disorders"	"M30-M35"	4452	281421906	1.6
	"2000"	"2000"	"Dorsopathies"	"M40-M54"	869	281421906	0.3
	"2000"	"2000"	"Soft tissue disorders"	"M60-M79"	1015	281421906	0.4
	"2000"	"2000"	"Osteopathies and chondropathies"	"M80-M94"	3051	281421906	1.1
	"2000"	"2000"	"Other disorders of the musculoskeletal system and connective tissue"	"M95-M99"	11	281421906	Unreliable
	"2000"	"2000"	"Glomerular diseases"	"N00-N07"	683	281421906	0.2
	"2000"	"2000"	"Renal tubulo-interstitial diseases"	"N10-N15"	1251	281421906	0.4
	"2000"	"2000"	"Renal failure"	"N17-N19"	36471	281421906	13.0
